Nome,Tipo_Proteina,Tem_Leguminosas,Tem_Hidratos,Ingredientes_Principais,Link,Ultima_Vez,Notas
Lasanha,carne,não,sim,"massa de lasanha, carne picada, molho de tomate, molho bechamel, queijo mozzarella",https://www.pingodoce.pt/receitas/lasanha/,2024-04-18,
Dourada grelhada com salada grega,peixe,não,sim,"dourada, limão, alho, coentros, batata a murro; salada: tomate, pepino, pimento, queijo feta, azeitona",https://feed.continente.pt/receitas/dourada-grelhada,,
Pataniscas de polvo com arroz de feijão,peixe,sim,sim,"polvo, ovo, farinha, cerveja; arroz: arroz carolino, feijão, cebola, alho, coentros",https://www.24kitchen.pt/receita/pataniscas-de-polvo,2023-09-22,
Massa de frango,carne,não,sim,"massa, frango em cubos, cogumelos, tomate, alho, cebola, manjericão, parmesão",https://feed.continente.pt/receitas/massa-frango,2023-09-13,
Caril de grão com brócolos,vegetariano,sim,sim,"grão de bico, brócolos, leite de coco, cebola, alho, pimento, caril em pó (servir com arroz basmati)",https://lifestyle.sapo.pt/sabores/receitas/caril-de-grao-com-brocolos,2024-02-08,
Massa camarão,peixe,não,sim,"massa/esparguete, miolo de camarão, alho, natas leves, vinho branco, parmesão",https://feed.continente.pt/receitas/massa-com-gambas,2023-09-16,
Panados de peru com arroz de tomate,carne,não,sim,"bifes de peru panados, pão ralado, ovo; arroz: tomate, cebola, alho, arroz",https://momentosdocesesalgados.com/receita-de-panados-de-peru/,2024-01-16,This Week (original)
Carne estufada com puré,carne,não,sim,"carne de vaca para estufar, cebola, alho, tomate, vinho tinto; puré de batata e cenoura",https://receitasnorobot.com/carne-estufada-com-pure-de-batata-e-cenoura,2024-01-15,
Carne de vaca com feijão preto,carne,sim,sim,"carne de vaca, feijão preto, cebola, alho, tomate, vinho branco (acompanha arroz branco)",https://www.teleculinaria.pt/receitas/carnes/carne-de-vaca-guisada-com-feijao/,2024-02-09,
Sticky rice de cogumelos com caju,vegetariano,não,sim,"arroz glutinoso, cogumelos, caju, molho de soja, gengibre",https://www.gousto.co.uk/menu?recipeDetailId=6047&uuid=190178a8-da03-4e1c-924d-fb4372991b90,2024-03-21,
BBQ Fajitas,carne,não,sim,"frango, tortilhas, pimentos, cebola, molho BBQ, especiarias fajita",https://www.gousto.co.uk/cookbook/recipes/smoky-n-sweet-bbq-chicken-fajitas,,
Udon com cogumelos e espinafres,vegetariano,não,sim,"noodles udon, cogumelos, espinafres, molho de soja, gengibre, alho",,,Não pesquisado individualmente — classificação por conhecimento geral
Moqueca,peixe,não,sim,"peixe (postas), leite de coco, azeite de dendê, tomate, cebola, pimentão, coentros (com arroz e farofa)",https://www.receiteria.com.br/receita/moqueca-de-peixe-facil/,,
Carne assada com batatas,carne,não,sim,"peça de carne de vaca ou vitela, batatas, cebola, alho, vinho, ervas",,2024-03-31,Não pesquisado individualmente — classificação por conhecimento geral
Peixe assado com batatas,peixe,não,sim,"peixe branco (ex. pescada/dourada), batatas, cebola, tomate, azeite",,,This Week (original); não pesquisado individualmente
Lula com batatas,peixe,não,sim,"lulas, batatas, alho, azeite, coentros ou salsa",,2024-05-16,Não pesquisado individualmente
Choco grelhado com batata cozida,peixe,não,sim,"choco, alho, azeite, limão; batata cozida",,,Não pesquisado individualmente
Caldeirada de choco,peixe,não,sim,"choco, batata, tomate, cebola, pimento, vinho branco",,,Não pesquisado individualmente
Caril de frango,carne,não,sim,"peito de frango, leite de coco, cebola, alho, caril em pó, arroz basmati",https://www.pingodoce.pt/receitas/caril-de-frango/,2024-03-30,
Arroz de polvo,peixe,não,sim,"polvo, arroz, tomate, cebola, alho, vinho branco",,,Não pesquisado individualmente
Atum com risotto de açafrão,peixe,não,sim,"atum, arroz arbóreo, açafrão, cebola, vinho branco, parmesão",,2024-02-08,Não pesquisado individualmente
Salmão e batatas,peixe,não,sim,"posta de salmão, batatas, azeite, limão, ervas",,2024-02-07,This Week (original); não pesquisado individualmente
Massa de salmão,peixe,não,sim,"massa, salmão, natas ou molho de tomate, alho, cebola, endro",,2024-03-20,Não pesquisado individualmente
Feijoada de choco,peixe,sim,sim,"choco, feijão, tomate, cebola, alho, vinho branco (acompanha arroz ou batata)",,2024-02-05,Não pesquisado individualmente
Pataniscas bacalhau com arroz feijão,peixe,sim,sim,"bacalhau, ovo, farinha; arroz: feijão, cebola, alho, arroz carolino",https://www.pingodoce.pt/receitas/pataniscas-com-arroz-de-feijao/,2024-03-17,
Alheira + ovo + batatas,carne,não,sim,"alheira, ovo estrelado, batatas fritas ou cozidas",,2024-03-29,Não pesquisado individualmente
Massa a bolonhesa,carne,não,sim,"massa, carne picada, tomate, cebola, alho, vinho tinto",,,Não pesquisado individualmente
Strogonoff,carne,não,sim,"tiras de carne ou frango, cogumelos, natas/creme de leite, mostarda (acompanha arroz e batata palha)",,2024-05-10,Não pesquisado individualmente
Raclette,carne,não,sim,"queijo raclette, batatas, charcutaria variada (fiambre, chouriço), picles",,2024-05-02,Não pesquisado individualmente
Polvo a lagareiro,peixe,não,sim,"polvo, batata a murro, azeite, alho",,,This Week (original); não pesquisado individualmente
Frango e massa cozida,carne,não,sim,"frango, massa, molho de tomate ou caldo",,,Não pesquisado individualmente
Sopa de peixe,peixe,não,sim,"peixe variado, batata, tomate, cebola, alho, arroz ou massa miúda",,,Não pesquisado individualmente
